Distrito,cabecera.distrital,Partido,Estado,Media,Rango menor,Rango superior
E8D9,HIDALGO DEL PARRAL,MC,CHIHUAHUA,1.65%,0,5.97%
E8D1,JUAREZ,MC,CHIHUAHUA,3.43%,-0.27%,6.53%
E8D2,JUAREZ,MC,CHIHUAHUA,5.14%,0.01%,9.45%
E8D3,JUAREZ,MC,CHIHUAHUA,4.48%,0.13%,8.12%
E8D4,JUAREZ,MC,CHIHUAHUA,3.40%,0,6.82%
E9D16,ALVARO OBREGON,MC,CIUDAD DE MÉXICO,6.22%,4.68%,7.51%
E9D3,AZCAPOTZALCO,MC,CIUDAD DE MÉXICO,4.23%,3.58%,4.77%
E9D15,BENITO JUAREZ,MC,CIUDAD DE MÉXICO,2.78%,0,6.40%
E9D23,COYOACAN,MC,CIUDAD DE MÉXICO,6.49%,1.56%,10.63%
E9D24,COYOACAN,MC,CIUDAD DE MÉXICO,4.83%,3.45%,5.98%
E9D17,CUAJIMALPA DE MORELOS,MC,CIUDAD DE MÉXICO,4.61%,2.75%,6.17%
E9D12,CUAUHTEMOC,MC,CIUDAD DE MÉXICO,4.81%,3.49%,5.91%
E9D8,CUAUHTEMOC,MC,CIUDAD DE MÉXICO,4.96%,2.65%,6.91%
E9D1,GUSTAVO A. MADERO,MC,CIUDAD DE MÉXICO,6.74%,0.73%,11.78%
E9D2,GUSTAVO A. MADERO,MC,CIUDAD DE MÉXICO,4.25%,3.14%,5.18%
E9D7,GUSTAVO A. MADERO,MC,CIUDAD DE MÉXICO,6.61%,3.03%,9.62%
E9D13,IZTACALCO,MC,CIUDAD DE MÉXICO,6.37%,0.01%,11.70%
E9D18,IZTAPALAPA,MC,CIUDAD DE MÉXICO,6.32%,-0.22%,11.80%
E9D19,IZTAPALAPA,MC,CIUDAD DE MÉXICO,6.26%,-0.62%,12.03%
E9D20,IZTAPALAPA,MC,CIUDAD DE MÉXICO,6.06%,0.13%,11.05%
E9D22,IZTAPALAPA,MC,CIUDAD DE MÉXICO,7.50%,0,15.56%
E9D4,IZTAPALAPA,MC,CIUDAD DE MÉXICO,6.51%,0.13%,11.86%
E9D6,LA MAGDALENA CONTRERAS,MC,CIUDAD DE MÉXICO,5.03%,4.19%,5.73%
E9D10,MIGUEL HIDALGO,MC,CIUDAD DE MÉXICO,4.90%,2.51%,6.90%
E9D9,TLAHUAC,MC,CIUDAD DE MÉXICO,8.45%,7.11%,9.58%
E9D14,TLALPAN,MC,CIUDAD DE MÉXICO,5.87%,3.79%,7.62%
E9D5,TLALPAN,MC,CIUDAD DE MÉXICO,3.84%,2.31%,5.12%
E9D11,VENUSTIANO CARRANZA,MC,CIUDAD DE MÉXICO,8.12%,4.44%,11.21%
E9D21,XOCHIMILCO,MC,CIUDAD DE MÉXICO,7.75%,1.81%,12.73%
E5D3,MONCLOVA,MC,COAHUILA,2.10%,0,4.70%
E5D1,PIEDRAS NEGRAS,MC,COAHUILA,3.63%,0,7.29%
E5D4,SALTILLO,MC,COAHUILA,1.41%,0,5.31%
E5D7,SALTILLO,MC,COAHUILA,2.20%,0,6.01%
E5D2,SAN PEDRO,MC,COAHUILA,3.55%,0.29%,6.28%
E5D5,TORREON,MC,COAHUILA,1.41%,0,4.16%
E5D6,TORREON,MC,COAHUILA,2.89%,0,6.05%
E6D1,COLIMA,MC,COLIMA,7.75%,5.34%,9.78%
E6D2,MANZANILLO,MC,COLIMA,4.27%,1.54%,6.56%
E10D2,GOMEZ PALACIO,MC,DURANGO,3.51%,0,8.14%
E10D3,GUADALUPE VICTORIA,MC,DURANGO,3.15%,0,7.24%
E10D1,VICTORIA DE DURANGO,MC,DURANGO,2.37%,0,8.73%
E10D4,VICTORIA DE DURANGO,MC,DURANGO,6.06%,0,12.66%
E11D14,ACAMBARO,MC,GUANAJUATO,6.27%,3.88%,8.27%
E11D12,CELAYA,MC,GUANAJUATO,3.74%,1.03%,6.02%
E11D4,GUANAJUATO,MC,GUANAJUATO,4.11%,0.15%,7.44%
E11D15,IRAPUATO,MC,GUANAJUATO,2.99%,1.79%,3.99%
E11D9,IRAPUATO,MC,GUANAJUATO,1.67%,0,4.50%
E11D11,LEON,MC,GUANAJUATO,1.66%,0.17%,2.92%
E11D3,LEON,MC,GUANAJUATO,1.40%,0,5.16%
E11D5,LEON,MC,GUANAJUATO,1.17%,0,4.90%
E11D6,LEON,MC,GUANAJUATO,1.23%,0,4.83%
E11D8,SALAMANCA,MC,GUANAJUATO,4.10%,2.37%,5.55%
E11D7,SAN FRANCISCO DEL RINCON,MC,GUANAJUATO,2.18%,0,5.71%
E11D1,SAN LUIS DE LA PAZ,MC,GUANAJUATO,1.54%,0,5.34%
E11D2,SAN MIGUEL DE ALLENDE,MC,GUANAJUATO,4.18%,1.25%,6.65%
E11D10,URIANGATO,MC,GUANAJUATO,3.51%,1.48%,5.22%
E11D13,VALLE DE SANTIAGO,MC,GUANAJUATO,5.24%,2.95%,7.16%
E12D4,ACAPULCO,MC,GUERRERO,8.06%,3.82%,11.62%
E12D9,ACAPULCO,MC,GUERRERO,4.91%,1.86%,7.47%
E12D8,AYUTLA DE LOS LIBRES,MC,GUERRERO,8.10%,3.95%,11.58%
E12D1,CD. ALTAMIRANO,MC,GUERRERO,10.37%,0,21.47%
E12D6,CHILAPA,MC,GUERRERO,9.23%,1.59%,15.65%
E12D7,CHILPANCINGO,MC,GUERRERO,6.63%,3.81%,9.01%
E12D2,IGUALA,MC,GUERRERO,5.48%,3.19%,7.41%
E12D5,TLAPA,MC,GUERRERO,6.91%,1.11%,11.79%
E12D3,ZIHUATANEJO,MC,GUERRERO,8.43%,0,17.30%
E13D3,ACTOPAN,MC,HIDALGO,2.68%,0.84%,4.23%
E13D1,HUEJUTLA DE REYES,MC,HIDALGO,2.86%,-0.47%,5.66%
E13D2,IXMIQUILPAN,MC,HIDALGO,2.77%,0.10%,5.01%
E13D6,PACHUCA DE SOTO,MC,HIDALGO,3.01%,-0.27%,5.76%
E13D7,TEPEAPULCO,MC,HIDALGO,1.79%,0,4.74%
E13D5,TULA DE ALLENDE,MC,HIDALGO,3.44%,-0.18%,6.47%
E13D4,TULANCINGO DE BRAVO,MC,HIDALGO,3.78%,-0.05%,6.99%
E14D18,AUTLAN DE NAVARRO,MC,JALISCO,16.10%,1.23%,28.57%
E14D19,CIUDAD GUZMAN,MC,JALISCO,17.63%,3.59%,29.42%
E14D11,GUADALAJARA,MC,JALISCO,28.04%,2.55%,49.42%
E14D14,GUADALAJARA,MC,JALISCO,28.48%,2.94%,49.92%
E14D8,GUADALAJARA,MC,JALISCO,21.88%,-0.92%,41.02%
E14D9,GUADALAJARA,MC,JALISCO,25.43%,2.86%,44.37%
E14D17,JOCOTEPEC,MC,JALISCO,19.46%,4.41%,32.09%
E14D15,LA BARCA,MC,JALISCO,13.80%,4.41%,21.68%
E14D2,LAGOS DE MORENO,MC,JALISCO,14.14%,0.30%,25.76%
E14D5,PUERTO VALLARTA,MC,JALISCO,19.33%,2.89%,33.14%
E14D12,SANTA CRUZ DE LAS FLORES,MC,JALISCO,31.87%,8.78%,51.25%
E14D3,TEPATITLAN DE MORELOS,MC,JALISCO,12.88%,-0.57%,24.18%
E14D1,TEQUILA,MC,JALISCO,16.63%,5.25%,26.17%
E14D13,TLAQUEPAQUE,MC,JALISCO,25.18%,3.53%,43.35%
E14D16,TLAQUEPAQUE,MC,JALISCO,21.88%,7.46%,33.99%
E14D20,TONALA,MC,JALISCO,21.38%,6.06%,34.23%
E14D7,TONALA,MC,JALISCO,20.34%,3.46%,34.51%
E14D10,ZAPOPAN,MC,JALISCO,20.58%,2.40%,35.84%
E14D4,ZAPOPAN,MC,JALISCO,19.33%,3.25%,32.82%
E14D6,ZAPOPAN,MC,JALISCO,21.82%,3.57%,37.13%
E16D12,APATZINGAN DE LA CONSTITUCION,MC,MICHOACÁN,7.71%,-0.15%,14.31%
E16D6,CIUDAD HIDALGO,MC,MICHOACÁN,6.15%,3.95%,8.01%
E16D3,HEROICA ZITACUARO,MC,MICHOACÁN,6.29%,0,13.52%
E16D4,JIQUILPAN DE JUAREZ,MC,MICHOACÁN,5.41%,1.50%,8.69%
E16D1,LAZARO CARDENAS,MC,MICHOACÁN,5.31%,-0.71%,10.36%
E16D10,MORELIA,MC,MICHOACÁN,5.02%,1.01%,8.39%
E16D8,MORELIA,MC,MICHOACÁN,6.27%,2.70%,9.26%
E16D11,PATZCUARO,MC,MICHOACÁN,6.29%,-0.27%,11.79%
E16D2,PURUANDIRO,MC,MICHOACÁN,6.48%,0,14.23%
E16D9,URUAPAN DEL PROGRESO,MC,MICHOACÁN,6.32%,-0.77%,12.26%
E16D7,ZACAPU,MC,MICHOACÁN,7.89%,3.73%,11.38%
E16D5,ZAMORA DE HIDALGO,MC,MICHOACÁN,5.79%,3.26%,7.92%
E17D3,CUAUTLA,MC,MORELOS,9.80%,7.64%,11.61%
E17D1,CUERNAVACA,MC,MORELOS,7.54%,5.24%,9.48%
E17D2,JIUTEPEC,MC,MORELOS,8.34%,6.16%,10.16%
E17D4,JOJUTLA,MC,MORELOS,9.29%,6.73%,11.43%
E17D5,YAUTEPEC,MC,MORELOS,8.02%,5.13%,10.45%
E15D21,AMECAMECA DE JUAREZ,MC,MÉXICO,4.85%,3.66%,5.84%
E15D3,ATLACOMULCO DE FABELA,MC,MÉXICO,3.46%,0.54%,5.90%
E15D20,CD. NEZAHUALCOYOTL,MC,MÉXICO,9.16%,0,22.72%
E15D29,CD. NEZAHUALCOYOTL,MC,MÉXICO,9.45%,0,25.10%
E15D31,CD. NEZAHUALCOYOTL,MC,MÉXICO,12.23%,0,30.67%
E15D33,CHALCO DE DIAZ COVARRUBIAS,MC,MÉXICO,9.59%,6.64%,12.06%
E15D25,CHIMALHUACAN,MC,MÉXICO,4.53%,1.93%,6.71%
E15D30,CHIMALHUACAN,MC,MÉXICO,8.08%,-0.12%,14.97%
E15D14,CIUDAD ADOLFO LOPEZ MATEOS,MC,MÉXICO,3.79%,1.33%,5.86%
E15D15,CIUDAD ADOLFO LOPEZ MATEOS,MC,MÉXICO,4.13%,1.96%,5.96%
E15D6,COACALCO DE BERRIOZABAL,MC,MÉXICO,7.76%,6.34%,8.95%
E15D37,CUAUTITLAN,MC,MÉXICO,7.46%,5.77%,8.88%
E15D7,CUAUTITLAN IZCALLI,MC,MÉXICO,3.85%,2.53%,4.95%
E15D10,ECATEPEC DE MORELOS,MC,MÉXICO,5.61%,2.77%,8.00%
E15D11,ECATEPEC DE MORELOS,MC,MÉXICO,5.79%,2.53%,8.52%
E15D13,ECATEPEC DE MORELOS,MC,MÉXICO,6.03%,2.75%,8.79%
E15D16,ECATEPEC DE MORELOS,MC,MÉXICO,4.87%,3.25%,6.23%
E15D17,ECATEPEC DE MORELOS,MC,MÉXICO,5.88%,3.14%,8.19%
E15D18,HUIXQUILUCAN DE DEGOLLADO,MC,MÉXICO,4.20%,3.52%,4.77%
E15D12,IXTAPALUCA,MC,MÉXICO,7.01%,1.23%,11.86%
E15D1,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,MC,MÉXICO,5.21%,0,10.91%
E15D23,LERMA DE VILLADA,MC,MÉXICO,3.25%,1.82%,4.44%
E15D39,LOS REYES ACAQUILPAN,MC,MÉXICO,5.08%,3.91%,6.06%
E15D27,METEPEC,MC,MÉXICO,2.88%,0.35%,5.00%
E15D22,NAUCALPAN DE JUAREZ,MC,MÉXICO,3.22%,1.36%,4.79%
E15D24,NAUCALPAN DE JUAREZ,MC,MÉXICO,3.37%,1.61%,4.84%
E15D4,NICOLAS ROMERO,MC,MÉXICO,3.30%,1.49%,4.81%
E15D41,OJO DE AGUA,MC,MÉXICO,5.49%,4.37%,6.43%
E15D9,SAN FELIPE DEL PROGRESO,MC,MÉXICO,7.80%,2.68%,12.09%
E15D40,SAN MIGUEL ZINACANTEPEC,MC,MÉXICO,5.41%,4.39%,6.26%
E15D2,SANTA MARIA TULTEPEC,MC,MÉXICO,8.61%,6.30%,10.56%
E15D36,TEJUPILCO DE HIDALGO,MC,MÉXICO,4.08%,1.99%,5.82%
E15D35,TENANCINGO DE DEGOLLADO,MC,MÉXICO,4.17%,2.55%,5.54%
E15D5,TEOTIHUACAN DE ARISTA,MC,MÉXICO,3.49%,2.68%,4.17%
E15D38,TEXCOCO DE MORA,MC,MÉXICO,4.04%,2.62%,5.23%
E15D19,TLALNEPANTLA DE BAZ,MC,MÉXICO,4.52%,3.79%,5.13%
E15D26,TOLUCA DE LERDO,MC,MÉXICO,3.06%,0.61%,5.12%
E15D34,TOLUCA DE LERDO,MC,MÉXICO,4.54%,2.03%,6.64%
E15D8,TULTITLAN DE MARIANO ESCOBEDO,MC,MÉXICO,7.81%,4.96%,10.21%
E15D32,VALLE DE CHALCO SOLIDARIDAD,MC,MÉXICO,12.92%,5.16%,19.43%
E15D28,ZUMPANGO DE OCAMPO,MC,MÉXICO,4.51%,2.87%,5.89%
E18D3,COMPOSTELA,MC,NAYARIT,4.85%,1.72%,7.48%
E18D1,SANTIAGO IXCUINTLA,MC,NAYARIT,5.18%,2.63%,7.32%
E18D2,TEPIC,MC,NAYARIT,3.62%,1.54%,5.37%
E19D2,APODACA,MC,NUEVO LEÓN,9.57%,1.57%,16.27%
E19D12,BENITO JUAREZ,MC,NUEVO LEÓN,8.00%,1.26%,13.65%
E19D7,GARCIA,MC,NUEVO LEÓN,9.81%,2.17%,16.22%
E19D3,GRAL. ESCOBEDO,MC,NUEVO LEÓN,10.37%,2.02%,17.39%
E19D11,GUADALUPE,MC,NUEVO LEÓN,10.57%,2.13%,17.65%
E19D8,GUADALUPE,MC,NUEVO LEÓN,10.02%,1.80%,16.92%
E19D9,LINARES,MC,NUEVO LEÓN,5.17%,-0.50%,9.93%
E19D10,MONTERREY,MC,NUEVO LEÓN,12.15%,2.99%,19.84%
E19D5,MONTERREY,MC,NUEVO LEÓN,8.53%,0.07%,15.63%
E19D6,MONTERREY,MC,NUEVO LEÓN,12.94%,3.22%,21.10%
E19D4,SAN NICOLAS DE LOS GARZA,MC,NUEVO LEÓN,10.70%,3.20%,17.00%
E19D1,SANTA CATARINA,MC,NUEVO LEÓN,12.77%,4.99%,19.30%
E20D7,CIUDAD IXTEPEC,MC,OAXACA,4.43%,3.26%,5.42%
E20D3,HEROICA CIUDAD DE HUAJUAPAN DE LEON,MC,OAXACA,3.95%,1.38%,6.10%
E20D6,HEROICA CIUDAD DE TLAXIACO,MC,OAXACA,3.66%,0,7.47%
E20D10,MIAHUATLAN DE PORFIRIO DIAZ,MC,OAXACA,5.74%,1.58%,9.24%
E20D8,OAXACA DE JUAREZ,MC,OAXACA,5.33%,2.65%,7.57%
E20D9,PUERTO ESCONDIDO,MC,OAXACA,4.33%,2.64%,5.74%
E20D5,SALINA CRUZ,MC,OAXACA,4.24%,1.90%,6.21%
E20D1,SAN JUAN BAUTISTA TUXTEPEC,MC,OAXACA,4.95%,3.08%,6.51%
E20D2,TEOTITLAN DE FLORES MAGON,MC,OAXACA,2.14%,0.87%,3.20%
E20D4,TLACOLULA DE MATAMOROS,MC,OAXACA,2.68%,0.43%,4.57%
E21D14,ACATLAN DE OSORIO,MC,PUEBLA,2.50%,1.09%,3.68%
E21D4,AJALPAN,MC,PUEBLA,4.00%,0.14%,7.23%
E21D13,ATLIXCO,MC,PUEBLA,2.45%,0,5.94%
E21D10,CHOLULA DE RIVADAVIA,MC,PUEBLA,6.92%,2.33%,10.77%
E21D8,CIUDAD SERDAN,MC,PUEBLA,5.25%,0.83%,8.96%
E21D2,CUAUTILULCO BARRIO,MC,PUEBLA,4.18%,-0.46%,8.08%
E21D11,HEROICA PUEBLA DE ZARAGOZA,MC,PUEBLA,4.07%,2.16%,5.68%
E21D12,HEROICA PUEBLA DE ZARAGOZA,MC,PUEBLA,4.09%,1.54%,6.24%
E21D6,HEROICA PUEBLA DE ZARAGOZA,MC,PUEBLA,3.67%,1.52%,5.47%
E21D9,HEROICA PUEBLA DE ZARAGOZA,MC,PUEBLA,3.56%,1.95%,4.92%
E21D1,HUAUCHINANGO DE DEGOLLADO,MC,PUEBLA,3.26%,0.63%,5.46%
E21D5,SAN MARTIN TEXMELUCAN DE LABASTIDA,MC,PUEBLA,5.55%,2.60%,8.02%
E21D15,TEHUACAN,MC,PUEBLA,2.14%,0.04%,3.90%
E21D7,TEPEACA,MC,PUEBLA,1.38%,0,4.21%
E21D3,TEZIUTLAN,MC,PUEBLA,2.75%,0,5.95%
E22D1,CADEREYTA DE MONTES,MC,QUERÉTARO,3.88%,-0.51%,7.57%
E22D5,EL PUEBLITO,MC,QUERÉTARO,3.18%,1.72%,4.41%
E22D2,SAN JUAN DEL RIO,MC,QUERÉTARO,2.87%,1.13%,4.34%
E22D3,SANTIAGO DE QUERETARO,MC,QUERÉTARO,3.46%,1.76%,4.88%
E22D4,SANTIAGO DE QUERETARO,MC,QUERÉTARO,3.36%,1.72%,4.74%
E23D3,CANCUN,MC,QUINTANA ROO,6.73%,4.05%,8.98%
E23D4,CANCUN,MC,QUINTANA ROO,5.50%,2.32%,8.16%
E23D2,CHETUMAL,MC,QUINTANA ROO,4.00%,2.17%,5.54%
E23D1,PLAYA DEL CARMEN,MC,QUINTANA ROO,3.66%,2.24%,4.85%
E24D4,CIUDAD VALLES,MC,SAN LUIS POTOSÍ,5.96%,2.60%,8.78%
E24D1,MATEHUALA,MC,SAN LUIS POTOSÍ,5.69%,2.63%,8.26%
E24D3,RIOVERDE,MC,SAN LUIS POTOSÍ,3.11%,0.21%,5.53%
E24D5,SAN LUIS POTOSI,MC,SAN LUIS POTOSÍ,5.71%,2.77%,8.19%
E24D6,SAN LUIS POTOSI,MC,SAN LUIS POTOSÍ,6.39%,2.91%,9.32%
E24D2,SOLEDAD DE GRACIANO SANCHEZ,MC,SAN LUIS POTOSÍ,7.37%,0,15.03%
E24D7,TAMAZUNCHALE,MC,SAN LUIS POTOSÍ,3.95%,2.20%,5.43%
E25D5,CULIACAN DE ROSALES,MC,SINALOA,2.95%,-0.00%,5.44%
E25D7,CULIACAN DE ROSALES,MC,SINALOA,2.65%,-0.05%,4.92%
E25D3,GUAMUCHIL,MC,SINALOA,4.76%,2.01%,7.06%
E25D4,GUASAVE,MC,SINALOA,2.12%,-0.32%,4.17%
E25D2,LOS MOCHIS,MC,SINALOA,2.38%,0.36%,4.07%
E25D1,MAZATLAN,MC,SINALOA,3.13%,0.29%,5.51%
E25D6,MAZATLAN,MC,SINALOA,3.44%,1.03%,5.47%
E26D6,CD. OBREGON,MC,SONORA,5.94%,3.74%,7.78%
E26D4,GUAYMAS,MC,SONORA,3.69%,1.78%,5.29%
E26D3,HERMOSILLO,MC,SONORA,4.02%,1.69%,5.98%
E26D5,HERMOSILLO,MC,SONORA,3.76%,0.94%,6.13%
E26D7,NAVOJOA,MC,SONORA,3.47%,1.92%,4.77%
E26D2,NOGALES,MC,SONORA,4.66%,1.06%,7.69%
E26D1,SAN LUIS RIO COLORADO,MC,SONORA,4.66%,3.63%,5.53%
E27D3,COMALCALCO,MC,TABASCO,6.49%,0,15.73%
E27D2,HEROICA CARDENAS,MC,TABASCO,6.14%,0,15.54%
E27D1,MACUSPANA,MC,TABASCO,5.20%,0,11.05%
E27D5,PARAISO,MC,TABASCO,3.79%,0,8.83%
E27D4,VILLAHERMOSA,MC,TABASCO,3.26%,0,6.62%
E27D6,VILLAHERMOSA,MC,TABASCO,4.11%,1.48%,6.32%
E28D7,CIUDAD MADERO,MC,TAMAULIPAS,3.83%,0.57%,6.56%
E28D6,CIUDAD MANTE,MC,TAMAULIPAS,4.74%,0.36%,8.41%
E28D5,CIUDAD VICTORIA,MC,TAMAULIPAS,11.27%,2.47%,18.65%
E28D4,H. MATAMOROS,MC,TAMAULIPAS,2.21%,0,5.38%
E28D1,NUEVO LAREDO,MC,TAMAULIPAS,1.85%,0,4.76%
E28D2,REYNOSA,MC,TAMAULIPAS,2.18%,-0.15%,4.14%
E28D9,REYNOSA,MC,TAMAULIPAS,3.14%,2.02%,4.07%
E28D3,RIO BRAVO,MC,TAMAULIPAS,1.30%,0,3.65%
E28D8,TAMPICO,MC,TAMAULIPAS,2.15%,-0.07%,4.01%
E29D1,APIZACO,MC,TLAXCALA,2.27%,0.77%,3.53%
E29D2,TLAXCALA DE XICOHTENCATL,MC,TLAXCALA,3.16%,1.46%,4.59%
E29D3,ZACATELCO,MC,TLAXCALA,4.67%,2.39%,6.59%
E30D9,COATEPEC,MC,VERACRUZ,7.05%,4.81%,8.93%
E30D11,COATZACOALCOS,MC,VERACRUZ,5.63%,3.98%,7.02%
E30D16,CORDOBA,MC,VERACRUZ,4.37%,1.32%,6.93%
E30D17,COSAMALOAPAN,MC,VERACRUZ,3.01%,0.24%,5.34%
E30D20,COSOLEACAQUE,MC,VERACRUZ,3.10%,0.89%,4.95%
E30D13,HUATUSCO,MC,VERACRUZ,4.14%,2.03%,5.91%
E30D7,MARTINEZ DE LA TORRE,MC,VERACRUZ,6.41%,4.08%,8.36%
E30D14,MINATITLAN,MC,VERACRUZ,3.85%,0.85%,6.37%
E30D15,ORIZABA,MC,VERACRUZ,4.26%,2.71%,5.56%
E30D1,PANUCO,MC,VERACRUZ,3.51%,1.72%,5.01%
E30D6,PAPANTLA DE OLARTE,MC,VERACRUZ,11.55%,8.29%,14.28%
E30D5,POZA RICA DE HIDALGO,MC,VERACRUZ,7.23%,-1.05%,14.17%
E30D19,SAN ANDRES TUXTLA,MC,VERACRUZ,3.77%,1.23%,5.90%
E30D2,TANTOYUCA,MC,VERACRUZ,3.83%,2.21%,5.19%
E30D3,TUXPAN DE RODRIGUEZ CANO,MC,VERACRUZ,1.24%,0,2.93%
E30D12,VERACRUZ,MC,VERACRUZ,3.51%,1.85%,4.91%
E30D4,VERACRUZ,MC,VERACRUZ,3.36%,2.39%,4.18%
E30D10,XALAPA,MC,VERACRUZ,4.84%,1.75%,7.44%
E30D8,XALAPA,MC,VERACRUZ,5.51%,3.10%,7.53%
E30D18,ZONGOLICA,MC,VERACRUZ,5.62%,3.83%,7.12%
E31D3,MERIDA,MC,YUCATÁN,1.80%,0,4.49%
E31D4,MERIDA,MC,YUCATÁN,2.00%,0,4.79%
E31D2,PROGRESO,MC,YUCATÁN,1.05%,0,2.82%
E31D5,TICUL,MC,YUCATÁN,0.91%,0,2.33%
E31D1,VALLADOLID,MC,YUCATÁN,0.20%,0,1.89%
E32D1,FRESNILLO,MC,ZACATECAS,0.24%,0,3.43%
E32D4,GUADALUPE,MC,ZACATECAS,2.28%,0,4.92%
E32D2,JEREZ DE GARCIA SALINAS,MC,ZACATECAS,0.53%,0,2.18%
E32D3,ZACATECAS,MC,ZACATECAS,0.98%,0,2.91%
E1D2,AGUASCALIENTES,MORENA,AGUASCALIENTES,29.62%,27.02%,31.79%
E1D3,AGUASCALIENTES,MORENA,AGUASCALIENTES,24.56%,22.38%,26.39%
E1D1,JESUS MARIA,MORENA,AGUASCALIENTES,25.37%,23.35%,27.07%
E2D3,ENSENADA,MORENA,BAJA CALIFORNIA,44.37%,42.48%,45.96%
E2D1,MEXICALI,MORENA,BAJA CALIFORNIA,45.53%,43.02%,47.64%
E2D2,MEXICALI,MORENA,BAJA CALIFORNIA,44.27%,41.97%,46.21%
E2D7,MEXICALI,MORENA,BAJA CALIFORNIA,46.87%,43.85%,49.40%
E2D4,TIJUANA,MORENA,BAJA CALIFORNIA,60.41%,56.44%,63.74%
E2D5,TIJUANA,MORENA,BAJA CALIFORNIA,51.26%,47.54%,54.39%
E2D6,TIJUANA,MORENA,BAJA CALIFORNIA,52.54%,49.09%,55.44%
E2D8,TIJUANA,MORENA,BAJA CALIFORNIA,56.35%,52.31%,59.73%
E3D1,LA PAZ,MORENA,BAJA CALIFORNIA SUR,41.57%,39.89%,42.97%
E3D2,SAN JOSE DEL CABO,MORENA,BAJA CALIFORNIA SUR,43.27%,40.74%,45.40%
E4D2,CIUDAD DEL CARMEN,MORENA,CAMPECHE,43.47%,39.60%,46.71%
E4D1,SAN FRANCISCO DE CAMPECHE,MORENA,CAMPECHE,41.33%,38.01%,44.11%
E7D2,BOCHIL,MORENA,CHIAPAS,29.61%,26.79%,31.98%
E7D8,COMITAN DE DOMINGUEZ,MORENA,CHIAPAS,37.11%,32.18%,41.24%
E7D13,HUEHUETAN,MORENA,CHIAPAS,33.66%,32.93%,34.27%
E7D11,LAS MARGARITAS,MORENA,CHIAPAS,25.41%,23.00%,27.43%
E7D3,OCOSINGO,MORENA,CHIAPAS,37.73%,35.40%,39.68%
E7D1,PALENQUE,MORENA,CHIAPAS,45.68%,45.04%,46.21%
E7D4,PICHUCALCO,MORENA,CHIAPAS,40.30%,35.59%,44.26%
E7D5,SAN CRISTOBAL DE LAS CASAS,MORENA,CHIAPAS,41.42%,37.10%,45.05%
E7D12,TAPACHULA,MORENA,CHIAPAS,52.49%,48.49%,55.84%
E7D7,TONALA,MORENA,CHIAPAS,48.12%,44.39%,51.25%
E7D6,TUXTLA GUTIERREZ,MORENA,CHIAPAS,53.64%,49.80%,56.87%
E7D9,TUXTLA GUTIERREZ,MORENA,CHIAPAS,61.63%,56.41%,66.01%
E7D10,VILLAFLORES,MORENA,CHIAPAS,46.07%,44.82%,47.13%
E8D6,CHIHUAHUA,MORENA,CHIHUAHUA,27.54%,25.91%,28.92%
E8D8,CHIHUAHUA,MORENA,CHIHUAHUA,31.06%,29.37%,32.47%
E8D7,CUAUHTEMOC,MORENA,CHIHUAHUA,32.99%,29.34%,36.05%
E8D5,DELICIAS,MORENA,CHIHUAHUA,29.46%,26.48%,31.96%
E8D9,HIDALGO DEL PARRAL,MORENA,CHIHUAHUA,25.12%,23.16%,26.76%
E8D1,JUAREZ,MORENA,CHIHUAHUA,46.62%,41.64%,50.81%
E8D2,JUAREZ,MORENA,CHIHUAHUA,37.33%,34.45%,39.75%
E8D3,JUAREZ,MORENA,CHIHUAHUA,38.94%,35.19%,42.09%
E8D4,JUAREZ,MORENA,CHIHUAHUA,35.45%,33.10%,37.42%
E9D16,ALVARO OBREGON,MORENA,CIUDAD DE MÉXICO,41.12%,37.98%,43.76%
E9D3,AZCAPOTZALCO,MORENA,CIUDAD DE MÉXICO,44.65%,42.70%,46.28%
E9D15,BENITO JUAREZ,MORENA,CIUDAD DE MÉXICO,32.27%,31.12%,33.24%
E9D23,COYOACAN,MORENA,CIUDAD DE MÉXICO,43.82%,37.84%,48.84%
E9D24,COYOACAN,MORENA,CIUDAD DE MÉXICO,39.49%,36.26%,42.20%
E9D17,CUAJIMALPA DE MORELOS,MORENA,CIUDAD DE MÉXICO,36.74%,32.32%,40.45%
E9D12,CUAUHTEMOC,MORENA,CIUDAD DE MÉXICO,42.76%,39.87%,45.19%
E9D8,CUAUHTEMOC,MORENA,CIUDAD DE MÉXICO,45.66%,43.57%,47.41%
E9D1,GUSTAVO A. MADERO,MORENA,CIUDAD DE MÉXICO,46.84%,40.85%,51.86%
E9D2,GUSTAVO A. MADERO,MORENA,CIUDAD DE MÉXICO,42.96%,40.10%,45.35%
E9D7,GUSTAVO A. MADERO,MORENA,CIUDAD DE MÉXICO,47.29%,43.18%,50.74%
E9D13,IZTACALCO,MORENA,CIUDAD DE MÉXICO,45.70%,40.04%,50.45%
E9D18,IZTAPALAPA,MORENA,CIUDAD DE MÉXICO,45.89%,40.90%,50.08%
E9D19,IZTAPALAPA,MORENA,CIUDAD DE MÉXICO,49.53%,45.17%,53.19%
E9D20,IZTAPALAPA,MORENA,CIUDAD DE MÉXICO,48.03%,44.52%,50.97%
E9D22,IZTAPALAPA,MORENA,CIUDAD DE MÉXICO,51.70%,45.38%,57.00%
E9D4,IZTAPALAPA,MORENA,CIUDAD DE MÉXICO,49.38%,45.96%,52.26%
