Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
PRD,E9D14,CIUDAD DE MÉXICO,TLALPAN,33.94%,0.0473,26.17%,43.21%,0.22%
PT,E9D14,CIUDAD DE MÉXICO,TLALPAN,2.75%,0.0052,1.89%,3.78%,0.00%
PVEM,E9D14,CIUDAD DE MÉXICO,TLALPAN,5.75%,0.0322,0.00%,12.07%,0.00%
RSP,E9D14,CIUDAD DE MÉXICO,TLALPAN,3.41%,0.0324,0.00%,9.76%,0.00%
ES,E9D15,CIUDAD DE MÉXICO,BENITO JUAREZ,5.11%,0.0249,1.01%,10.00%,0.00%
MC,E9D15,CIUDAD DE MÉXICO,BENITO JUAREZ,2.79%,0.0220,0.00%,7.09%,0.00%
PAN,E9D15,CIUDAD DE MÉXICO,BENITO JUAREZ,45.38%,0.1174,26.07%,68.39%,46.99%
PVEM,E9D15,CIUDAD DE MÉXICO,BENITO JUAREZ,39.95%,0.0556,30.80%,50.85%,53.01%
RSP,E9D15,CIUDAD DE MÉXICO,BENITO JUAREZ,2.78%,0.0304,0.00%,8.74%,0.00%
ES,E9D16,CIUDAD DE MÉXICO,ALVARO OBREGON,4.81%,0.0161,2.16%,7.97%,0.00%
MC,E9D16,CIUDAD DE MÉXICO,ALVARO OBREGON,6.22%,0.0079,4.93%,7.76%,0.00%
MORENA,E9D16,CIUDAD DE MÉXICO,ALVARO OBREGON,51.32%,0.0271,46.86%,56.63%,99.66%
PRI,E9D16,CIUDAD DE MÉXICO,ALVARO OBREGON,32.44%,0.0579,22.92%,43.79%,0.34%
RSP,E9D16,CIUDAD DE MÉXICO,ALVARO OBREGON,4.68%,0.0417,0.00%,12.86%,0.00%
ES,E9D17,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,4.85%,0.0298,0.00%,10.70%,0.00%
MC,E9D17,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,4.61%,0.0095,3.05%,6.47%,0.00%
PAN,E9D17,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,42.13%,0.0660,31.28%,55.06%,40.93%
PVEM,E9D17,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,45.96%,0.0540,37.09%,56.54%,59.07%
RSP,E9D17,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,4.03%,0.0301,0.00%,9.93%,0.00%
ES,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,5.56%,0.0146,3.15%,8.43%,0.00%
MC,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,6.32%,0.0334,0.00%,12.85%,0.00%
MORENA,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,45.89%,0.0255,41.70%,50.89%,99.32%
PRD,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,29.96%,0.0526,21.31%,40.28%,0.68%
PT,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,3.69%,0.0068,2.57%,5.03%,0.00%
PVEM,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,5.11%,0.0233,1.29%,9.67%,0.00%
RSP,E9D18,CIUDAD DE MÉXICO,IZTAPALAPA,5.36%,0.0418,0.00%,13.55%,0.00%
ES,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,5.09%,0.0120,3.11%,7.45%,0.00%
MC,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,6.26%,0.0351,0.00%,13.13%,0.00%
MORENA,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,49.53%,0.0222,45.87%,53.88%,100.00%
PRI,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,26.68%,0.0504,18.40%,36.56%,0.00%
PT,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,5.79%,0.0059,4.83%,6.94%,0.00%
PVEM,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,4.14%,0.0143,1.78%,6.94%,0.00%
RSP,E9D19,CIUDAD DE MÉXICO,IZTAPALAPA,5.22%,0.0473,0.00%,14.48%,0.00%
ES,E9D2,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,5.05%,0.0221,1.41%,9.39%,0.00%
MC,E9D2,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,4.25%,0.0057,3.31%,5.36%,0.00%
PRI,E9D2,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,34.18%,0.0498,25.99%,43.93%,1.37%
PVEM,E9D2,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,50.90%,0.0430,43.84%,59.32%,98.63%
RSP,E9D2,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,3.38%,0.0265,0.00%,8.58%,0.00%
ES,E9D20,CIUDAD DE MÉXICO,IZTAPALAPA,5.35%,0.0163,2.67%,8.55%,0.00%
MC,E9D20,CIUDAD DE MÉXICO,IZTAPALAPA,6.06%,0.0303,1.09%,12.00%,0.00%
PRD,E9D20,CIUDAD DE MÉXICO,IZTAPALAPA,25.94%,0.0457,18.43%,34.90%,0.00%
PT,E9D20,CIUDAD DE MÉXICO,IZTAPALAPA,57.40%,0.0309,52.31%,63.46%,100.00%
RSP,E9D20,CIUDAD DE MÉXICO,IZTAPALAPA,4.48%,0.0366,0.00%,11.66%,0.00%
ES,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,5.14%,0.0240,1.19%,9.85%,0.00%
MC,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,7.75%,0.0303,2.77%,13.69%,0.00%
MORENA,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,49.98%,0.0165,47.27%,53.20%,100.00%
PRI,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,26.08%,0.0475,18.26%,35.40%,0.00%
PT,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,3.28%,0.0055,2.38%,4.35%,0.00%
PVEM,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,6.70%,0.0353,0.00%,13.62%,0.00%
RSP,E9D21,CIUDAD DE MÉXICO,XOCHIMILCO,2.17%,0.0365,0.00%,9.32%,0.00%
ES,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,3.79%,0.0097,2.19%,5.68%,0.00%
MC,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,7.50%,0.0490,0.00%,17.11%,0.00%
MORENA,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,51.70%,0.0322,46.40%,58.01%,99.99%
PRI,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,22.21%,0.0665,11.28%,35.24%,0.01%
PT,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,4.47%,0.0062,3.44%,5.70%,0.00%
PVEM,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,3.43%,0.0106,1.69%,5.51%,0.00%
RSP,E9D22,CIUDAD DE MÉXICO,IZTAPALAPA,5.62%,0.0504,0.00%,15.50%,0.00%
ES,E9D23,CIUDAD DE MÉXICO,COYOACAN,4.22%,0.0195,1.01%,8.04%,0.00%
MC,E9D23,CIUDAD DE MÉXICO,COYOACAN,6.49%,0.0252,2.36%,11.42%,0.00%
MORENA,E9D23,CIUDAD DE MÉXICO,COYOACAN,51.93%,0.0422,44.98%,60.21%,97.62%
PAN,E9D23,CIUDAD DE MÉXICO,COYOACAN,34.59%,0.0614,24.49%,46.62%,2.38%
RSP,E9D23,CIUDAD DE MÉXICO,COYOACAN,3.77%,0.0351,0.00%,10.65%,0.00%
ES,E9D24,CIUDAD DE MÉXICO,COYOACAN,4.44%,0.0268,0.00%,9.69%,0.00%
MC,E9D24,CIUDAD DE MÉXICO,COYOACAN,4.83%,0.0070,3.67%,6.20%,0.00%
MORENA,E9D24,CIUDAD DE MÉXICO,COYOACAN,39.49%,0.0165,36.78%,42.72%,64.95%
PAN,E9D24,CIUDAD DE MÉXICO,COYOACAN,39.65%,0.0669,28.65%,52.77%,35.05%
PT,E9D24,CIUDAD DE MÉXICO,COYOACAN,2.00%,0.0049,1.19%,2.96%,0.00%
PVEM,E9D24,CIUDAD DE MÉXICO,COYOACAN,6.88%,0.0420,0.00%,15.11%,0.00%
RSP,E9D24,CIUDAD DE MÉXICO,COYOACAN,4.10%,0.0293,0.00%,9.85%,0.00%
ES,E9D3,CIUDAD DE MÉXICO,AZCAPOTZALCO,4.68%,0.0152,2.18%,7.67%,0.00%
MC,E9D3,CIUDAD DE MÉXICO,AZCAPOTZALCO,4.23%,0.0033,3.68%,4.88%,0.00%
MORENA,E9D3,CIUDAD DE MÉXICO,AZCAPOTZALCO,53.12%,0.0309,48.05%,59.17%,99.96%
PAN,E9D3,CIUDAD DE MÉXICO,AZCAPOTZALCO,30.53%,0.0548,21.52%,41.26%,0.04%
RSP,E9D3,CIUDAD DE MÉXICO,AZCAPOTZALCO,4.29%,0.0304,0.00%,10.25%,0.00%
ES,E9D4,CIUDAD DE MÉXICO,IZTAPALAPA,4.98%,0.0136,2.74%,7.64%,0.00%
MC,E9D4,CIUDAD DE MÉXICO,IZTAPALAPA,6.51%,0.0325,1.16%,12.88%,0.00%
PRD,E9D4,CIUDAD DE MÉXICO,IZTAPALAPA,23.45%,0.0455,15.96%,32.37%,0.00%
PT,E9D4,CIUDAD DE MÉXICO,IZTAPALAPA,58.64%,0.0253,54.48%,63.60%,100.00%
RSP,E9D4,CIUDAD DE MÉXICO,IZTAPALAPA,4.82%,0.0387,0.00%,12.40%,0.00%
ES,E9D5,CIUDAD DE MÉXICO,TLALPAN,5.80%,0.0301,0.00%,11.70%,0.00%
MC,E9D5,CIUDAD DE MÉXICO,TLALPAN,3.84%,0.0078,2.56%,5.37%,0.00%
MORENA,E9D5,CIUDAD DE MÉXICO,TLALPAN,56.09%,0.0475,48.27%,65.40%,96.40%
PRI,E9D5,CIUDAD DE MÉXICO,TLALPAN,38.88%,0.0631,28.50%,51.25%,3.60%
RSP,E9D5,CIUDAD DE MÉXICO,TLALPAN,2.44%,0.0317,0.00%,8.65%,0.00%
ES,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,4.78%,0.0266,0.00%,10.00%,0.00%
MC,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,5.03%,0.0043,4.32%,5.87%,0.00%
MORENA,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,42.11%,0.0136,39.88%,44.77%,83.58%
PAN,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,37.52%,0.0480,29.63%,46.93%,16.42%
PT,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,2.54%,0.0081,1.21%,4.13%,0.00%
PVEM,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,6.64%,0.0419,0.00%,14.84%,0.00%
RSP,E9D6,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,3.51%,0.0287,0.00%,9.14%,0.00%
ES,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,4.67%,0.0234,0.82%,9.26%,0.00%
MC,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,6.61%,0.0183,3.60%,10.20%,0.00%
MORENA,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,47.29%,0.0210,43.84%,51.40%,99.74%
PRD,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,31.41%,0.0481,23.50%,40.84%,0.26%
PT,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,2.65%,0.0056,1.73%,3.75%,0.00%
PVEM,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,5.86%,0.0364,0.00%,13.00%,0.00%
RSP,E9D7,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,3.85%,0.0326,0.00%,10.24%,0.00%
ES,E9D8,CIUDAD DE MÉXICO,CUAUHTEMOC,5.10%,0.0223,1.43%,9.47%,0.00%
MC,E9D8,CIUDAD DE MÉXICO,CUAUHTEMOC,4.96%,0.0118,3.02%,7.28%,0.00%
PRI,E9D8,CIUDAD DE MÉXICO,CUAUHTEMOC,31.74%,0.0483,23.80%,41.21%,0.04%
PT,E9D8,CIUDAD DE MÉXICO,CUAUHTEMOC,54.58%,0.0450,47.18%,63.40%,99.96%
RSP,E9D8,CIUDAD DE MÉXICO,CUAUHTEMOC,4.02%,0.0266,0.00%,9.24%,0.00%
ES,E9D9,CIUDAD DE MÉXICO,TLAHUAC,5.37%,0.0191,2.23%,9.12%,0.00%
MC,E9D9,CIUDAD DE MÉXICO,TLAHUAC,8.45%,0.0069,7.32%,9.79%,0.00%
MORENA,E9D9,CIUDAD DE MÉXICO,TLAHUAC,49.91%,0.0357,44.03%,56.92%,99.92%
PRD,E9D9,CIUDAD DE MÉXICO,TLAHUAC,30.39%,0.0459,22.84%,39.38%,0.08%
PT,E9D9,CIUDAD DE MÉXICO,TLAHUAC,3.18%,0.0030,2.68%,3.77%,0.00%
PVEM,E9D9,CIUDAD DE MÉXICO,TLAHUAC,6.22%,0.0307,1.17%,12.24%,0.00%
RSP,E9D9,CIUDAD DE MÉXICO,TLAHUAC,4.45%,0.0368,0.00%,11.66%,0.00%
ES,E5D1,COAHUILA,PIEDRAS NEGRAS,3.69%,0.0789,0.00%,19.15%,0.13%
MC,E5D1,COAHUILA,PIEDRAS NEGRAS,3.63%,0.0223,0.00%,8.00%,0.00%
MORENA,E5D1,COAHUILA,PIEDRAS NEGRAS,45.44%,0.1301,24.03%,70.95%,68.42%
PAN,E5D1,COAHUILA,PIEDRAS NEGRAS,19.05%,0.0346,13.35%,25.84%,2.48%
PRD,E5D1,COAHUILA,PIEDRAS NEGRAS,0.07%,0.0211,0.00%,4.20%,0.00%
PRI,E5D1,COAHUILA,PIEDRAS NEGRAS,26.92%,0.1181,7.50%,50.07%,28.97%
RSP,E5D1,COAHUILA,PIEDRAS NEGRAS,2.76%,0.0184,0.00%,6.36%,0.00%
ES,E5D2,COAHUILA,SAN PEDRO,2.12%,0.0701,0.00%,15.85%,0.00%
MC,E5D2,COAHUILA,SAN PEDRO,3.55%,0.0166,0.82%,6.80%,0.00%
MORENA,E5D2,COAHUILA,SAN PEDRO,48.76%,0.1306,27.28%,74.36%,75.44%
PAN,E5D2,COAHUILA,SAN PEDRO,12.53%,0.0504,4.24%,22.41%,0.06%
PRD,E5D2,COAHUILA,SAN PEDRO,1.60%,0.0152,0.00%,4.57%,0.00%
PRI,E5D2,COAHUILA,SAN PEDRO,26.18%,0.1300,4.80%,51.66%,24.50%
RSP,E5D2,COAHUILA,SAN PEDRO,3.10%,0.0196,0.00%,6.95%,0.00%
ES,E5D3,COAHUILA,MONCLOVA,1.40%,0.0615,0.00%,13.46%,0.00%
MC,E5D3,COAHUILA,MONCLOVA,2.10%,0.0158,0.00%,5.19%,0.00%
MORENA,E5D3,COAHUILA,MONCLOVA,47.99%,0.1433,24.41%,76.08%,69.56%
PAN,E5D3,COAHUILA,MONCLOVA,18.93%,0.0441,11.68%,27.57%,3.55%
PRD,E5D3,COAHUILA,MONCLOVA,0.00%,0.0151,0.00%,2.97%,0.00%
PRI,E5D3,COAHUILA,MONCLOVA,26.92%,0.1323,5.15%,52.85%,26.88%
RSP,E5D3,COAHUILA,MONCLOVA,2.18%,0.0168,0.00%,5.47%,0.00%
ES,E5D4,COAHUILA,SALTILLO,3.09%,0.0774,0.00%,18.26%,0.38%
MC,E5D4,COAHUILA,SALTILLO,1.41%,0.0237,0.00%,6.05%,0.00%
MORENA,E5D4,COAHUILA,SALTILLO,46.00%,0.1618,19.38%,77.72%,59.73%
PAN,E5D4,COAHUILA,SALTILLO,18.17%,0.0541,9.28%,28.76%,11.61%
PRD,E5D4,COAHUILA,SALTILLO,0.00%,0.0170,0.00%,3.32%,0.00%
PRI,E5D4,COAHUILA,SALTILLO,30.74%,0.1418,7.41%,58.54%,28.28%
RSP,E5D4,COAHUILA,SALTILLO,2.61%,0.0232,0.00%,7.17%,0.00%
ES,E5D5,COAHUILA,TORREON,2.11%,0.0688,0.00%,15.59%,0.02%
MC,E5D5,COAHUILA,TORREON,1.41%,0.0167,0.00%,4.69%,0.00%
MORENA,E5D5,COAHUILA,TORREON,47.60%,0.1432,24.04%,75.68%,67.57%
PAN,E5D5,COAHUILA,TORREON,23.60%,0.0209,20.16%,27.69%,11.96%
PRD,E5D5,COAHUILA,TORREON,0.00%,0.0170,0.00%,3.33%,0.00%
PRI,E5D5,COAHUILA,TORREON,27.81%,0.1321,6.07%,53.70%,20.46%
RSP,E5D5,COAHUILA,TORREON,1.58%,0.0175,0.00%,5.02%,0.00%
ES,E5D6,COAHUILA,TORREON,2.65%,0.0604,0.00%,14.48%,0.00%
MC,E5D6,COAHUILA,TORREON,2.89%,0.0193,0.00%,6.66%,0.00%
PAN,E5D6,COAHUILA,TORREON,16.24%,0.0182,13.25%,19.80%,0.00%
PRD,E5D6,COAHUILA,TORREON,0.00%,0.0175,0.00%,3.44%,0.00%
PRI,E5D6,COAHUILA,TORREON,26.03%,0.1130,7.43%,48.18%,17.09%
PVEM,E5D6,COAHUILA,TORREON,50.85%,0.1197,31.16%,74.30%,82.91%
RSP,E5D6,COAHUILA,TORREON,1.81%,0.0229,0.00%,6.30%,0.00%
ES,E5D7,COAHUILA,SALTILLO,2.33%,0.0569,0.00%,13.48%,0.00%
MC,E5D7,COAHUILA,SALTILLO,2.20%,0.0232,0.00%,6.74%,0.00%
MORENA,E5D7,COAHUILA,SALTILLO,32.36%,0.0113,30.50%,34.58%,73.24%
PAN,E5D7,COAHUILA,SALTILLO,15.24%,0.0446,7.90%,23.99%,0.01%
PRD,E5D7,COAHUILA,SALTILLO,0.00%,0.0192,0.00%,3.77%,0.00%
PRI,E5D7,COAHUILA,SALTILLO,30.53%,0.1325,8.74%,56.49%,22.95%
PT,E5D7,COAHUILA,SALTILLO,2.40%,0.0044,1.67%,3.26%,0.00%
PVEM,E5D7,COAHUILA,SALTILLO,13.17%,0.1443,0.00%,41.46%,3.80%
RSP,E5D7,COAHUILA,SALTILLO,2.20%,0.0245,0.00%,7.00%,0.00%
ES,E6D1,COLIMA,COLIMA,1.60%,0.0332,0.00%,8.11%,0.00%
MC,E6D1,COLIMA,COLIMA,7.75%,0.0123,5.73%,10.16%,0.00%
MORENA,E6D1,COLIMA,COLIMA,34.75%,0.0116,32.84%,37.02%,57.50%
PAN,E6D1,COLIMA,COLIMA,39.58%,0.0776,26.82%,54.78%,42.50%
PT,E6D1,COLIMA,COLIMA,4.59%,0.0043,3.89%,5.43%,0.00%
PVEM,E6D1,COLIMA,COLIMA,6.14%,0.0687,0.00%,19.60%,0.00%
RSP,E6D1,COLIMA,COLIMA,2.96%,0.0153,0.00%,5.95%,0.00%
ES,E6D2,COLIMA,MANZANILLO,3.11%,0.0435,0.00%,11.65%,0.00%
MC,E6D2,COLIMA,MANZANILLO,4.27%,0.0139,1.98%,7.00%,0.00%
MORENA,E6D2,COLIMA,MANZANILLO,38.56%,0.0092,37.04%,40.37%,68.48%
PRI,E6D2,COLIMA,MANZANILLO,38.79%,0.0698,27.31%,52.47%,31.51%
PT,E6D2,COLIMA,MANZANILLO,3.74%,0.0044,3.02%,4.61%,0.00%
PVEM,E6D2,COLIMA,MANZANILLO,9.55%,0.0817,0.00%,25.57%,0.01%
RSP,E6D2,COLIMA,MANZANILLO,1.51%,0.0148,0.00%,4.41%,0.00%
ES,E10D1,DURANGO,VICTORIA DE DURANGO,2.56%,0.0561,0.00%,13.56%,0.00%
MC,E10D1,DURANGO,VICTORIA DE DURANGO,2.37%,0.0387,0.00%,9.96%,0.00%
MORENA,E10D1,DURANGO,VICTORIA DE DURANGO,43.05%,0.1303,21.62%,68.59%,46.17%
PAN,E10D1,DURANGO,VICTORIA DE DURANGO,48.15%,0.1230,27.92%,72.25%,53.83%
RSP,E10D1,DURANGO,VICTORIA DE DURANGO,2.52%,0.0413,0.00%,10.61%,0.00%
ES,E10D2,DURANGO,GOMEZ PALACIO,2.61%,0.0522,0.00%,12.83%,0.00%
MC,E10D2,DURANGO,GOMEZ PALACIO,3.51%,0.0281,0.00%,9.03%,0.00%
MORENA,E10D2,DURANGO,GOMEZ PALACIO,49.97%,0.1041,32.85%,70.38%,56.81%
PRI,E10D2,DURANGO,GOMEZ PALACIO,42.75%,0.1080,24.99%,63.91%,43.19%
RSP,E10D2,DURANGO,GOMEZ PALACIO,3.38%,0.0330,0.00%,9.85%,0.00%
ES,E10D3,DURANGO,GUADALUPE VICTORIA,1.93%,0.0503,0.00%,11.79%,0.00%
MC,E10D3,DURANGO,GUADALUPE VICTORIA,3.15%,0.0249,0.00%,8.03%,0.00%
MORENA,E10D3,DURANGO,GUADALUPE VICTORIA,46.98%,0.1105,28.80%,68.63%,49.51%
PRD,E10D3,DURANGO,GUADALUPE VICTORIA,46.28%,0.1006,29.73%,66.00%,50.49%
RSP,E10D3,DURANGO,GUADALUPE VICTORIA,2.92%,0.0280,0.00%,8.40%,0.00%
ES,E10D4,DURANGO,VICTORIA DE DURANGO,3.24%,0.0429,0.00%,11.65%,0.00%
MC,E10D4,DURANGO,VICTORIA DE DURANGO,6.06%,0.0401,0.00%,13.92%,0.00%
PAN,E10D4,DURANGO,VICTORIA DE DURANGO,43.45%,0.0989,27.18%,62.83%,48.87%
PT,E10D4,DURANGO,VICTORIA DE DURANGO,41.96%,0.0790,28.96%,57.44%,51.13%
RSP,E10D4,DURANGO,VICTORIA DE DURANGO,2.51%,0.0325,0.00%,8.88%,0.00%
ES,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,1.98%,0.0372,0.00%,9.27%,0.00%
MC,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,1.54%,0.0231,0.00%,6.07%,0.00%
MORENA,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,20.09%,0.0056,19.17%,21.18%,1.31%
PAN,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,31.25%,0.0624,20.99%,43.48%,81.34%
PRD,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,1.78%,0.0237,0.00%,6.44%,0.00%
PRI,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,16.50%,0.0938,0.00%,34.89%,16.05%
PT,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,3.80%,0.0081,2.47%,5.39%,0.00%
PVEM,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,10.96%,0.0619,0.00%,23.09%,1.30%
RSP,E11D1,GUANAJUATO,SAN LUIS DE LA PAZ,3.80%,0.0304,0.00%,9.75%,0.00%
ES,E11D10,GUANAJUATO,URIANGATO,1.76%,0.0362,0.00%,8.86%,0.00%
MC,E11D10,GUANAJUATO,URIANGATO,3.51%,0.0104,1.80%,5.55%,0.00%
MORENA,E11D10,GUANAJUATO,URIANGATO,22.98%,0.0149,20.53%,25.90%,53.89%
PAN,E11D10,GUANAJUATO,URIANGATO,28.84%,0.0628,18.51%,41.15%,34.81%
PRD,E11D10,GUANAJUATO,URIANGATO,2.54%,0.0159,0.00%,5.66%,0.00%
PRI,E11D10,GUANAJUATO,URIANGATO,17.51%,0.0869,3.21%,34.55%,9.79%
PT,E11D10,GUANAJUATO,URIANGATO,2.17%,0.0068,1.06%,3.50%,0.00%
PVEM,E11D10,GUANAJUATO,URIANGATO,12.02%,0.0579,2.49%,23.38%,1.51%
RSP,E11D10,GUANAJUATO,URIANGATO,5.10%,0.0269,0.00%,10.37%,0.00%
ES,E11D11,GUANAJUATO,LEON,3.58%,0.0313,0.00%,9.71%,0.00%
MC,E11D11,GUANAJUATO,LEON,1.66%,0.0076,0.41%,3.15%,0.00%
MORENA,E11D11,GUANAJUATO,LEON,18.00%,0.0063,16.97%,19.23%,0.00%
PAN,E11D11,GUANAJUATO,LEON,47.08%,0.1167,27.90%,69.95%,89.56%
PRD,E11D11,GUANAJUATO,LEON,2.30%,0.0143,0.00%,5.10%,0.00%
PRI,E11D11,GUANAJUATO,LEON,15.33%,0.1483,0.00%,44.40%,10.44%
PT,E11D11,GUANAJUATO,LEON,2.58%,0.0118,0.63%,4.90%,0.00%
PVEM,E11D11,GUANAJUATO,LEON,8.02%,0.0518,0.00%,18.17%,0.00%
RSP,E11D11,GUANAJUATO,LEON,2.08%,0.0176,0.00%,5.54%,0.00%
ES,E11D12,GUANAJUATO,CELAYA,3.74%,0.0275,0.00%,9.13%,0.00%
MC,E11D12,GUANAJUATO,CELAYA,3.74%,0.0138,1.47%,6.45%,0.00%
MORENA,E11D12,GUANAJUATO,CELAYA,27.38%,0.0223,23.71%,31.76%,56.98%
PAN,E11D12,GUANAJUATO,CELAYA,33.14%,0.0981,17.00%,52.37%,38.19%
PRD,E11D12,GUANAJUATO,CELAYA,1.58%,0.0142,0.00%,4.37%,0.00%
PRI,E11D12,GUANAJUATO,CELAYA,12.44%,0.1080,0.00%,33.61%,4.82%
PT,E11D12,GUANAJUATO,CELAYA,3.05%,0.0106,1.31%,5.12%,0.00%
PVEM,E11D12,GUANAJUATO,CELAYA,9.50%,0.0427,2.47%,17.87%,0.01%
RSP,E11D12,GUANAJUATO,CELAYA,4.37%,0.0166,1.63%,7.63%,0.00%
ES,E11D13,GUANAJUATO,VALLE DE SANTIAGO,2.44%,0.0367,0.00%,9.64%,0.00%
MC,E11D13,GUANAJUATO,VALLE DE SANTIAGO,5.24%,0.0117,3.32%,7.53%,0.00%
MORENA,E11D13,GUANAJUATO,VALLE DE SANTIAGO,37.79%,0.0502,29.53%,47.64%,82.00%
PAN,E11D13,GUANAJUATO,VALLE DE SANTIAGO,26.94%,0.0600,17.08%,38.70%,16.03%
PRD,E11D13,GUANAJUATO,VALLE DE SANTIAGO,6.58%,0.0250,2.47%,11.48%,0.00%
PRI,E11D13,GUANAJUATO,VALLE DE SANTIAGO,15.41%,0.0898,0.00%,33.01%,1.97%
RSP,E11D13,GUANAJUATO,VALLE DE SANTIAGO,7.50%,0.0214,3.98%,11.69%,0.00%
ES,E11D14,GUANAJUATO,ACAMBARO,1.85%,0.0267,0.00%,7.09%,0.00%
MC,E11D14,GUANAJUATO,ACAMBARO,6.27%,0.0122,4.27%,8.65%,0.00%
MORENA,E11D14,GUANAJUATO,ACAMBARO,23.95%,0.0090,22.46%,25.72%,60.02%
PAN,E11D14,GUANAJUATO,ACAMBARO,27.20%,0.0652,16.47%,39.98%,36.22%
PRD,E11D14,GUANAJUATO,ACAMBARO,3.45%,0.0258,0.00%,8.50%,0.00%
PRI,E11D14,GUANAJUATO,ACAMBARO,13.08%,0.0773,0.00%,28.23%,3.70%
PT,E11D14,GUANAJUATO,ACAMBARO,2.33%,0.0054,1.44%,3.38%,0.00%
PVEM,E11D14,GUANAJUATO,ACAMBARO,10.82%,0.0414,4.01%,18.93%,0.06%
RSP,E11D14,GUANAJUATO,ACAMBARO,5.37%,0.0277,0.00%,10.80%,0.00%
ES,E11D15,GUANAJUATO,IRAPUATO,2.45%,0.0406,0.00%,10.41%,0.00%
MC,E11D15,GUANAJUATO,IRAPUATO,2.99%,0.0061,1.99%,4.18%,0.00%
MORENA,E11D15,GUANAJUATO,IRAPUATO,26.77%,0.0041,26.10%,27.57%,61.34%
PAN,E11D15,GUANAJUATO,IRAPUATO,31.74%,0.0865,17.52%,48.69%,33.42%
PRD,E11D15,GUANAJUATO,IRAPUATO,2.26%,0.0079,0.96%,3.82%,0.00%
PRI,E11D15,GUANAJUATO,IRAPUATO,15.43%,0.1082,0.00%,36.63%,5.22%
PT,E11D15,GUANAJUATO,IRAPUATO,2.69%,0.0041,2.01%,3.49%,0.00%
PVEM,E11D15,GUANAJUATO,IRAPUATO,9.41%,0.0536,0.00%,19.92%,0.02%
RSP,E11D15,GUANAJUATO,IRAPUATO,3.72%,0.0124,1.69%,6.15%,0.00%
